Mission Number,Ship,Player
538,Razor,Underline
539,Razor,Underline
540,Razor,Kraken
541,Razor,Underline
542,Razor,Underline
543,Razor,Underline
544,Razor,Underline
545,Razor,Underline
546,Razor,Underline
547,Proxymar,Local Official 17
548,Razor,Underline
549,Razor,Underline
550,Razor,Underline
551,Razor,Underline
552,Razor,Underline
553,Razor,Underline
554,Razor,Kraken
555,Cinnri,Cathedral
556,Razor,Underline
557,Proxymar,Kraken
558,Razor,Underline
559,Razor,Underline
560,Proxymar,Local Official 17
561,Razor,Underline
562,Razor,Underline
563,Razor,Underline
564,Razor,Underline
565,Razor,Underline
566,Razor,Underline
567,Razor,Underline
568,Razor,Underline
569,Razor,Underline
570,Razor,Underline
571,Razor,Underline
572,Razor,Underline
573,Exarch,BloonStorm
574,Exarch,BloonStorm
575,Razor,Underline
576,EX04239,Moimoi
577,Proxymar,Local Official 17
578,Cinnri,Cathedral
579,EX04239,Moimoi
580,Proxymar,Koma Jiya
581,Cinnri,CXY
582,Photurius,Sharbel
583,Exarch,BloonStorm
584,Cinnri,CXY
585,Razor,Underline
586,EX04239,AYBABTU
587,Proxymar,Underline
588,Cinnri,Cathedral
589,Razor,Y&M
590,Proxymar,Local Official 17
591,Cinnri,Lie Algebra
592,EX04239,AYBABTU
593,Cinnri,Cathedral
594,Cinnri,Lie Algebra
595,Razor,Lie Algebra
596,Photurius,Cathedral
597,Razor,Underline
598,Wraith,BloonStorm
599,Photurius,Cathedral
600,EX04239,AYBABTU
601,Wraith,BloonStorm
602,Photurius,Kraken
603,Razor,Underline
604,Razor,Underline
605,Razor,Underline
606,Photurius,Lie Algebra
607,Proxymar,Underline
608,Wraith,BloonStorm
609,Photurius,Underline
610,Proxymar,Local Official 17
611,Wraith,BloonStorm
612,Photurius,Lie Algebra
613,Razor,Moon Peach
614,Wraith,BloonStorm
615,Exarch,BloonStorm
616,Photurius,Cathedral
617,Proxymar,AYBABTU
618,Wraith,BloonStorm
619,EX04239,Moimoi
620,Proxymar,Local Official 17
621,Cinnri,Cathedral
622,EX04239,Moimoi
623,Razor,Underline
624,Razor,Underline
625,Cinnri,Cathedral
626,EX04239,BloonStorm
627,Proxymar,Moimoi
628,Wraith,BloonStorm
629,EX04239,Moimoi
630,Proxymar,Moimoi
631,Wraith,BloonStorm
632,Photurius,CIACONA
633,Razor,Underline
634,Razor,Underline
635,Exarch,BloonStorm
636,Photurius,CIACONA
637,Razor,Lie Algebra
638,Photurius,CIACONA
639,Photurius,Lie Algebra
640,Proxymar,Underline
641,Wraith,BloonStorm
642,Photurius,CIACONA
643,Exarch,Kraken
644,Exarch,BloonStorm
645,Razor,Underline
646,EX04239,AYBABTU
647,Proxymar,Underline
648,Cinnri,Underline
649,Photurius,CIACONA
650,Proxymar,Koma Jiya
651,Photurius,CIACONA
652,Photurius,CIACONA
653,Exarch,Yutako
654,Razor,Underline
655,Razor,Underline
656,Photurius,CIACONA
657,Proxymar,e
658,Photurius,CIACONA
659,EX04239,AYBABTU
660,Proxymar,Local Official 17
661,Photurius,CIACONA
662,Photurius,CIACONA
663,Cinnri,Cathedral
664,Exarch,AYBABTU
665,Exarch,Moon Peach
666,Photurius,CIACONA
667,Proxymar,Local Official 17
668,EX04239,Jiankan
669,Photurius,CIACONA
670,Proxymar,Lie Algebra
671,Photurius,CIACONA
672,Photurius,CIACONA
673,Cinnri,CIACONA
674,Razor,Lie Algebra
675,Razor,Underline
676,Photurius,AYBABTU
677,Proxymar,Local Official 17
678,Photurius,CIACONA
679,EX04239,Lie Algebra
680,Proxymar,Moimoi
681,Wraith,Lie Algebra
682,Photurius,CIACONA
683,Razor,Lie Algebra
684,Exarch,Moon Peach
685,Cinnri,CIACONA
686,Photurius,CIACONA
687,Exarch,Moimoi
688,Photurius,CIACONA
689,Photurius,CIACONA
690,Proxymar,Local Official 17
691,Wraith,Lie Algebra
692,Photurius,CIACONA
693,Cinnri,CIACONA
694,Cinnri,CIACONA
695,Razor,Lie Algebra
696,Photurius,CIACONA
697,Proxymar,Lie Algebra
698,Wraith,Kraken
699,Photurius,CIACONA
700,Proxymar,Lie Algebra
701,EX04239,Lie Algebra
702,Photurius,CIACONA
703,Razor,Underline
704,Cinnri,CIACONA
705,Von Braun,Kmlp
706,Photurius,CIACONA
707,Geist,Fading Waves
708,EX04239,Eloy
709,Photurius,CIACONA
710,Proxymar,Lie Algebra
711,EX04239,Eloy
712,Krillou,CIACONA
713,Razor,Underline
714,Razor,Underline
715,Cinnri,CIACONA
716,Krillou,CIACONA
717,Proxymar,Local Official 17
718,EX04239,Eloy
719,Krillou,CIACONA
720,Proxymar,tt
721,EX04239,Eloy
722,Photurius,CIACONA
723,EX04239,Eloy
724,Razor,Underline
725,Cinnri,CIACONA
726,Photurius,CIACONA
727,Proxymar,Lie Algebra
728,EX04239,Eloy
729,Photurius,CIACONA
730,Proxymar,Lie Algebra
731,EX04239,Eloy
732,Photurius,CIACONA
733,Cinnri,CIACONA
734,Proxymar,Lie Algebra
735,Cinnri,CIACONA
736,Krillou,CIACONA
737,Proxymar,Lie Algebra
738,EX04239,AYBABTU
739,Photurius,Eloy
740,Proxymar,Lie Algebra
741,Wraith,Loki
742,Krillou,CIACONA
743,Cinnri,CIACONA
744,Cinnri,CIACONA
745,Cinnri,CIACONA
746,Krillou,CIACONA
747,Proxymar,Lie Algebra
748,Wraith,Lie Algebra
749,Krillou,CIACONA
750,Proxymar,Lie Algebra
751,Cinnri,CIACONA
752,Krillou,CIACONA
753,Razor,Lie Algebra
754,Cinnri,Eloy
755,Cinnri,CIACONA
756,Krillou,CIACONA
757,Proxymar,Lie Algebra
758,EX04239,AYBABTU
759,Photurius,Eloy
760,Proxymar,AYBABTU
761,EX04239,AYBABTU
762,Photurius,Local Official 17
763,Razor,Underline
764,Razor,Underline
765,Razor,Underline
766,Krillou,CIACONA
767,Proxymar,Local Official 17
768,Photurius,Kraken
769,Krillou,CIACONA
770,Proxymar,Meow
771,EX04239,Eloy
772,Photurius,Local Official 17
773,Cinnri,Local Official 17
774,Exarch,AYBABTU
775,Trireme,Longge
776,Photurius,CIACONA
777,Proxymar,CIACONA
778,Wraith,Lie Algebra
779,Krillou,CIACONA
780,Proxymar,Moimoi
781,EX04239,Eloy
782,Krillou,Luo Tianhua
783,Exarch,Local Official 17
784,Razor,Underline
785,Razor,Underline
786,Photurius,Local Official 17
787,Proxymar,Local Official 17
788,EX04239,AYBABTU
789,Krillou,CIACONA
790,Proxymar,Yellow Piss
791,EX04239,AYBABTU
792,Krillou,CIACONA
793,Razor,Underline
794,Cinnri,Eloy
795,Exarch,Local Official 17
796,Cinnri,Eloy
797,Krillou,CIACONA
798,Proxymar,Local Official 17
799,EX04239,AYBABTU
800,Krillou,CIACONA
801,Cinnri,Eloy
802,Proxymar,Lie Algebra
803,Photurius,Eloy
804,Proxymar,Lie Algebra
805,EX04239,AYBABTU
806,Krillou,Lucky Eight Cat
807,Cinnri,Eloy
808,Razor,Lie Algebra
809,Photurius,Kraken
810,Proxymar,AYBABTU
811,EX04239,AYBABTU
812,Krillou,CIACONA
813,Proxymar,Lie Algebra
814,Razor,Underline
815,Photurius,CIACONA
816,Proxymar,CIACONA
817,Wraith,AYBABTU
818,Krillou,CIACONA
819,Exarch,AYBABTU
820,Exarch,AYBABTU
821,EX04239,AYBABTU
822,Proxymar,Local Official 17
823,EX04239,AYBABTU
824,Photurius,FSQ
825,Exarch,AYBABTU
826,Exarch,AYBABTU
827,Photurius,FSQ
828,Proxymar,AYBABTU
829,Wraith,Loki
830,Krillou,CIACONA
831,Exarch,AYBABTU
832,Razor,Underline
833,Krillou,CIACONA
834,Proxymar,Meow
835,Wraith,AYBABTU
836,Photurius,CIACONA
837,Exarch,Yutako
838,Exarch,AYBABTU
839,EX04239,AYBABTU
840,Proxymar,CIACONA
841,EX04239,AYBABTU
842,Krillou,CIACONA
843,Exarch,AYBABTU
844,Exarch,AYBABTU
845,Krillou,CIACONA
846,Proxymar,Meow
847,EX04239,AYBABTU
848,Krillou,CIACONA
849,Exarch,AYBABTU
850,Exarch,AYBABTU
851,EX04239,AYBABTU
852,Proxymar,FSQ
853,EX04239,AYBABTU
854,Krillou,CIACONA
855,Exarch,AYBABTU
856,Exarch,AYBABTU
857,EX04239,AYBABTU
858,Proxymar,Meow
859,EX04239,AYBABTU
860,Krillou,CIACONA
861,Photurius,Heart
862,Exarch,AYBABTU
863,EX04239,AYBABTU
864,Proxymar,AYBABTU
865,EX04239,AYBABTU
866,Krillou,CIACONA
867,Razor,Underline
868,Exarch,AYBABTU
869,EX04239,AYBABTU
870,Proxymar,Meow
871,Wraith,AYBABTU
872,Saber,BloonStorm
873,Exarch,AYBABTU
874,Exarch,AYBABTU
875,Krillou,CIACONA
876,Exarch,AYBABTU
877,Wraith,AYBABTU
878,Icarus,Marvel
879,Veil,Eloy
880,Exarch,AYBABTU
881,EX04239,AYBABTU
882,Exarch,AYBABTU
883,Wraith,AYBABTU
884,Saber,BloonStorm
885,Exarch,AYBABTU
886,Exarch,AYBABTU
887,EX04239,AYBABTU
888,Exarch,AYBABTU
889,EX04239,AYBABTU
890,Krillou,CIACONA
891,Yigothu,Marvel
892,Veil,Eloy
893,EX04239,AYBABTU
894,Proxymar,CIACONA
895,Wraith,AYBABTU
896,Icarus,Marvel
897,Exarch,AYBABTU
898,Exarch,AYBABTU
899,EX04239,AYBABTU
900,Proxymar,Alelei
901,Wraith,AYBABTU
902,Krillou,CIACONA
903,Exarch,AYBABTU
904,Exarch,AYBABTU
905,EX04239,AYBABTU
906,Proxymar,CIACONA
907,Wraith,AYBABTU
908,Krillou,CIACONA
909,Exarch,AYBABTU
910,Exarch,AYBABTU
911,EX04239,AYBABTU
912,Exarch,AYBABTU
913,Wraith,AYBABTU
914,Krillou,CIACONA
915,Exarch,AYBABTU
916,Exarch,AYBABTU
917,EX04239,AYBABTU
918,Proxymar,Meow
919,Wraith,AYBABTU
920,Krillou,CIACONA
921,Veil,Eloy
922,Exarch,Passerby
923,Krillou,Eloy
924,Exarch,AYBABTU
925,Wraith,AYBABTU
926,Krillou,CIACONA
927,Exarch,AYBABTU
928,Exarch,AYBABTU
929,EX04239,AYBABTU
930,Proxymar,Meow
931,EX04239,AYBABTU
932,Krillou,CIACONA
933,Exarch,Passerby
934,Trireme,Longge
935,EX04239,AYBABTU
936,Proxymar,CIACONA
937,Wraith,AYBABTU
938,Krillou,CIACONA
939,Exarch,AYBABTU
940,Exarch,AYBABTU
941,EX04239,AYBABTU
942,Proxymar,Meow
943,Wraith,AYBABTU
944,Krillou,CIACONA
945,Exarch,Passerby
946,Exarch,AYBABTU
947,EX04239,AYBABTU
948,Proxymar,CIACONA
949,Wraith,AYBABTU
950,Krillou,CIACONA
951,Exarch,AYBABTU
952,Proxymar,CIACONA
953,EX04239,AYBABTU
954,Proxymar,CIACONA
955,Wraith,AYBABTU
956,Prime X,Elegater
957,Exarch,AYBABTU
958,Exarch,Passerby
959,Krillou,CIACONA
960,Proxymar,CIACONA
961,Wraith,AYBABTU
962,Krillou,CIACONA
963,Exarch,Passerby
964,Exarch,AYBABTU
965,EX04239,Passerby
966,Proxymar,AYBABTU
967,Wraith,AYBABTU
968,Krillou,CIACONA
969,Exarch,Passerby
970,Proxymar,Eloy
971,EX04239,AYBABTU
972,Proxymar,Hi
973,Buhloo,AYBABTU
974,Prime X,Elegater
975,Exarch,AYBABTU
976,EX04239,AYBABTU
977,Krillou,CIACONA
978,Exarch,AYBABTU
979,Prime X,Elegater
980,Proxymar,Alelei
981,EX04239,AYBABTU
982,Exarch,Passerby
983,EX04239,AYBABTU
984,Proxymar,Meow
985,Wraith,AYBABTU
986,Icarus,Marvel
987,Exarch,AYBABTU
988,EX04239,AYBABTU
989,Krillou,CIACONA
990,Exarch,AYBABTU
991,Krillou,CIACONA
992,Proxymar,Hi
993,Wraith,AYBABTU
994,Exarch,Passerby
995,EX04239,AYBABTU
996,NC-150,Sundae
997,Shogun,Passerby
998,Krillou,CIACONA
999,Exarch,Passerby
1000,EX04239,Passerby
1001,Krillou,CIACONA
1002,Exarch,AYBABTU
1003,Krillou,CIACONA
1004,Proxymar,Hi
1005,Wraith,AYBABTU
1006,Exarch,AYBABTU
1007,Shogun,Passerby
1008,Proxymar,Meow
1009,Wraith,AYBABTU
1010,EX04239,Passerby
1011,Exarch,AYBABTU
1012,EX04239,Passerby
1013,EX04239,Passerby
1014,Exarch,Passerby
1015,Krillou,CIACONA
1016,Proxymar,Hi
1017,EX04239,AYBABTU
1018,Exarch,Passerby
1019,EX04239,Meow
1020,Proxymar,Hi
1021,Wraith,AYBABTU
1022,Icarus,Passerby
1023,Exarch,Passerby
1024,EX04239,Passerby
1025,Krillou,CIACONA
1026,Proxymar,Longge
1027,Krillou,CIACONA
1028,Proxymar,Hi
1029,Wraith,AYBABTU
1030,Exarch,Passerby
1031,Icarus,Passerby
1032,NC-150,Sundae
1033,Wraith,AYBABTU
1034,Icarus,Passerby
1035,Exarch,Passerby
1036,Shogun,Passerby
1037,EX04239,Passerby
1038,Exarch,Passerby
1039,Icarus,Marvel
1040,Proxymar,Hi
1041,Wraith,Meow
1042,Exarch,Passerby
1043,EX04239,Passerby
1044,Proxymar,Hi
1045,Wraith,Hi
1046,Icarus,Marvel
1047,Exarch,Passerby
1048,EX04239,Passerby
1049,EX04239,Passerby
1050,Exarch,Passerby
1051,EX04239,Passerby
1052,Proxymar,Hi
1053,Wraith,AYBABTU
1054,Exarch,Passerby
1055,EX04239,Passerby
1056,Proxymar,Longge
1057,Wraith,AYBABTU
1058,EX04239,Passerby
1059,Exarch,AYBABTU
1060,EX04239,Passerby
1061,Icarus,Passerby
1062,EX04239,Passerby
1063,EX04239,Passerby
1064,Proxymar,Hi
1065,Wraith,Hi
1066,Exarch,Passerby
1067,EX04239,Passerby
1068,Proxymar,Hi
1069,EX04239,Passerby
1070,EX04239,Passerby
1071,Exarch,Passerby
1072,EX04239,Passerby
1073,EX04239,Passerby
1074,EX04239,Passerby
1075,Krillou,CIACONA
1076,Proxymar,Hi
1077,Wraith,Hi
1078,Proxymar,Longge
1079,EX04239,Passerby
1080,Exarch,AYBABTU
1081,Wraith,Hi
1082,Icarus,Sultan
1083,Exarch,Passerby
1084,Shogun,Passerby
1085,Icarus,Passerby
1086,Proxymar,Passerby
1087,Icarus,Passerby
1088,Proxymar,Hi
1089,Wraith,Shad Bamoky
1090,Exarch,Passerby
1091,EX04239,Passerby
1092,Proxymar,Hi
1093,Wraith,Meow
1094,EX04239,Passerby
1095,Baqlor,Hi
1096,EX04239,Passerby
1097,Icarus,Passerby
1098,Exarch,Passerby
1099,EX04239,Passerby
1100,Exarch,AYBABTU
1101,Wraith,Hi
1102,Exarch,Passerby
1103,EX04239,Longge
1104,Proxymar,Hi
1105,Wraith,Hi
1106,Icarus,Passerby
1107,Exarch,AYBABTU
1108,EX04239,Passerby
1109,EX04239,Passerby
1110,Exarch,Passerby
1111,EX04239,Passerby
1112,Proxymar,Hi
1113,Wraith,Hi
1114,Exarch,Passerby
1115,EX04239,Passerby
1116,Proxymar,Hi
1117,Wraith,Hi
1118,EX04239,Passerby
1119,Exarch,Passerby
1120,EX04239,Passerby
1121,EX04239,Passerby
1122,Exarch,Passerby
1123,EX04239,Passerby
1124,Proxymar,Hi
1125,Wraith,Hi
1126,Exarch,Passerby
1127,Shogun,Elegater
1128,Proxymar,Hi
1129,Wraith,Hi
1130,EX04239,Passerby
1131,Exarch,Passerby
1132,EX04239,Passerby
1133,EX04239,Passerby
1134,Exarch,Passerby
1135,Icarus,Passerby
1136,Proxymar,Hi
1137,EX04239,AYBABTU
1138,Exarch,Passerby
1139,EX04239,Passerby
1140,NC-150,Syzygy
1141,Wraith,Hi
1142,EX04239,Passerby
1143,Exarch,Passerby
1144,EX04239,Passerby
1145,Icarus,Sultan
1146,Exarch,Passerby
1147,EX04239,Passerby
1148,Proxymar,Hi
1149,EX04239,Passerby
1150,Exarch,AYBABTU
1151,EX04239,Passerby
1152,Proxymar,Hi
1153,Wraith,Hi
1154,EX04239,Passerby
1155,EX04239,Passerby
1156,Icarus,Passerby
1157,EX04239,Passerby
1158,Exarch,Passerby
1159,EX04239,Passerby
1160,Proxymar,Hi
1161,EX04239,Passerby
1162,Proxymar,Longge
1163,EX04239,Passerby
1164,Proxymar,Hi
1165,Wraith,Hi
1166,Icarus,Meow
1167,Exarch,Passerby
1168,EX04239,Passerby
1169,EX04239,Longge
1170,Exarch,Passerby
1171,Icarus,Passerby
1172,Exarch,AYBABTU
1173,Shogun,Van Darkholm
1174,Exarch,Passerby
1175,EX04239,Passerby
1176,Proxymar,Hi
1177,Wraith,Hi
1178,Krillou,CIACONA
1179,Exarch,Passerby
1180,EX04239,Passerby
1181,EX04239,Passerby
1182,Exarch,Passerby
1183,EX04239,Longge
1184,Proxymar,Hi
1185,Wraith,Hi
1186,Exarch,Orange
1187,EX04239,Meow
1188,Proxymar,Hi
1189,Wraith,Hi
1190,EX04239,Longge
1191,Exarch,Meow
1192,Shogun,Elegater
1193,Icarus,Char Sven
1194,Exarch,AYBABTU
1195,EX04239,Longge
1196,Proxymar,Hi
1197,Wraith,Meow
1198,Exarch,Meow
1199,Shogun,Passerby
1200,Proxymar,Hi
1201,Wraith,Meow
1202,EX04239,Longge
1203,Exarch,Hi
1204,EX04239,Passerby
1205,Icarus,Hi
1206,Exarch,1llusion
1207,EX04239,Passerby
1208,Proxymar,Hi
1209,Wraith,Meow
1210,Exarch,Meow
1211,EX04239,AYBABTU
1212,Proxymar,Meow
1213,Wraith,Meow
1214,EX04239,AYBABTU
1215,EX04239,Passerby
1216,Shogun,Elegater
1217,Icarus,Hi
1218,Exarch,Meow
1219,Icarus,Hi
1220,Proxymar,Meow
1221,Wraith,Meow
1222,EX04239,Through the ages
1223,Shogun,Elegater
1224,Proxymar,Meow
1225,Wraith,Meow
1226,Icarus,maro
1227,Exarch,AYBABTU
1228,EX04239,Passerby
1229,EX04239,Passerby
1230,Exarch,Meow
1231,EX04239,Passerby
1232,Proxymar,Meow
1233,Wraith,Meow
1234,EX04239,Longge
1235,Veil,maro
1236,Wraith,Meow
1237,EX04239,Passerby
1238,EX04239,Longge
1239,Exarch,AYBABTU
1240,EX04239,Longge
1241,Wraith,Meow
1242,Proxymar,Meow
1243,EX04239,Longge
1244,Exarch,Meow
1245,Wraith,Meow
1246,Proxymar,Meow
1247,Wraith,Meow
1248,EX04239,Longge
1249,Exarch,Meow
1250,Shogun,Funkiwi
1251,Shogun,Elegater
1252,Icarus,Meow
1253,Exarch,Meow
1254,EX04239,Longge
1255,Wraith,Meow
1256,Proxymar,Meow
1257,Shogun,Elegater
1258,Exarch,maro
1259,Wraith,Meow
1260,Proxymar,Hi
1261,Wraith,Hi
1262,EX04239,Longge
1263,Exarch,1llusion
1264,Wraith,Hi
1265,EX04239,Hi
1266,EX04239,Longge
1267,Exarch,Hi
1268,Icarus,Char Sven
1269,Shogun,Hi
1270,Proxymar,Hi
1271,EX04239,Longge
1272,Exarch,Hi
1273,Wraith,Hi
1274,Proxymar,Hi
1275,Wraith,Meow
1276,EX04239,Longge
1277,Exarch,1llusion
1278,Wraith,Hi
1279,EX04239,Passerby
1280,Icarus,Char Sven
1281,Exarch,Meow
1282,EX04239,Longge
1283,Wraith,Hi
1284,Proxymar,Hi
1285,EX04239,Longge
1286,Exarch,Meow
1287,Wraith,Hi
1288,Proxymar,Hi
1289,EX04239,Longge
1290,EX04239,Longge
1291,Exarch,Hi
1292,EX04239,Longge
1293,EX04239,Longge
1294,EX04239,Longge
1295,Exarch,Hi
1296,EX04239,Longge
1297,Wraith,Hi
1298,Proxymar,Hi
1299,EX04239,Meow
1300,Exarch,Hi
1301,Wraith,Hi
1316,Exarch,Hi
1317,Wraith,Meow
1318,Wraith,Meow
1319,Exarch,AYBABTU
1320,Shogun,Funkiwi
1321,Wraith,Meow
1322,Krillou,CIACONA
1323,Exarch,Meow
1324,Wraith,Hi
1325,Icarus,Char Sven
1326,Exarch,Meow
1327,Icarus,Char Sven
1328,Wraith,Meow
1329,Exarch,Meow
1330,Exarch,Meow
1331,Wraith,Meow
1332,Nimbus,Scorpion
1333,Exarch,Meow
1334,Wraith,Meow
1335,Saber,Kira
1336,Wraith,Meow
1337,Exarch,Meow
1338,Wraith,Meow
1339,Exarch,Meow
1340,Wraith,Meow
1341,Saber,Kira
1342,Wraith,Hi
1343,Proxymar,Hi
1344,Exarch,Meow
1345,Wraith,Meow
1346,Wraith,Meow
1347,Exarch,Meow
1348,Icarus,Scorpion
1349,Wraith,Meow
1350,Exarch,Meow
1351,Exarch,Meow
1352,Wraith,Meow
1353,Nimbus,Scorpion
1354,Exarch,Meow
1355,Wraith,Meow
1356,Krillou,1
1357,Wraith,Meow
1358,Exarch,Meow
1359,Wraith,Meow
1360,Exarch,Meow
1361,Wraith,Meow
1362,Icarus,Char Sven
1363,Wraith,Meow
1364,Exarch,Hi
1365,Proxymar,Hi
1366,Wraith,Meow
1367,Wraith,Meow
1368,Exarch,Meow
1369,Wraith,Marvel
1370,Wraith,Meow
1371,Baqlor,Hi
1372,Exarch,Meow
1373,Wraith,Meow
1374,Wraith,Meow
1375,Exarch,Meow
1376,Wraith,Meow
1377,Krillou,CIACONA
1378,Wraith,Meow
1379,Proxymar,Meow
1380,Saber,Kira
1381,Baqlor,Meow
1382,Wraith,Meow
1383,Icarus,Char Sven
1384,Wraith,Meow
1385,Baqlor,Sundog
1386,Exarch,Meow
1387,Wraith,Meow
1388,Wraith,Meow
1389,Exarch,Meow
1390,Wraith,Meow
1391,Wraith,Meow
1392,Baqlor,Hi
1393,Exarch,Hi
1394,Wraith,Hi
1395,Saber,Meow
1396,Exarch,Hi
1397,Icarus,Scorpion
1398,Krillou,CIACONA
1399,Wraith,Hi
1400,Exarch,Hi
1401,Saber,Meow
1402,Krillou,CIACONA
1403,Wraith,Hi
1404,Wraith,Hi
1405,Wraith,Hi
1406,Exarch,Hi
1407,Proxymar,Itvara
1408,Wraith,Hi
1409,Saber,Meow
1410,Exarch,AYBABTU
1411,Wraith,Hi
1412,Wraith,Hi
1413,Baqlor,Sundog
1414,Exarch,Hi
1415,Wraith,Hi
1416,Baqlor,Hi
1417,Exarch,Hi
1418,Wraith,Hi
1419,Krillou,CIACONA
1420,Kibarrax,Wowbadger
1421,Wraith,Hi
1422,Krillou,CIACONA
1423,Exarch,Hi
1424,Wraith,Hi
1425,Krillou,CIACONA
1426,Wraith,Hi
1427,Exarch,Hi
1428,Wraith,Hi
1429,Wraith,Hi
1430,Wraith,Hi
1431,Krillou,CIACONA
1432,Saber,Meow
1433,EX04239,Longge
1434,Baqlor,Sundog
1435,Exarch,Hi
1436,Wraith,Hi
1437,Baqlor,Hi
1438,Exarch,Orange
1439,Icarus,Char Sven
1440,Krillou,CIACONA
1441,Wraith,Hi
1442,Wraith,Hi
1443,Saber,Meow
1444,Krillou,CIACONA
1445,Wraith,Orange
1446,Icarus,Sundog
1447,Wraith,Hi
1448,Baqlor,Sundog
1449,Wraith,Hi
1450,Wraith,Orange
1451,Icarus,Char Sven
1452,Exarch,Itvara
1453,Saber,Passerby
1454,Wraith,Hi
1455,Exarch,Passerby
1456,Wraith,Orange
1457,Wraith,Hi
1458,Juggernaut,Owl
1459,Exarch,AYBABTU
1460,Icarus,Scorpion
1461,Krillou,CIACONA
1462,Wraith,Hi
1463,Wraith,Hi
1464,Saber,Meow
1465,Exarch,Orange
1466,Wraith,Orange
1467,Wraith,Hi
1468,Wraith,Hi
1469,Exarch,Passerby
1470,Wraith,Hi
1471,Wraith,Hi
1472,Saber,Meow
1473,Exarch,Passerby
1474,Krillou,CIACONA
1475,Kibarrax,SAMA
1476,Exarch,Passerby
1477,Exarch,Passerby
1478,Wraith,Hi
1479,Saber,Meow
1480,Exarch,Passerby
1481,Saber,Meow
1482,Krillou,CIACONA
1483,Kibarrax,Itvara
1484,Exarch,AYBABTU
1485,Saber,Meow
1486,Krillou,CIACONA
1487,Wraith,Hi
1488,Krillou,CIACONA
1489,Wraith,Hi
1490,Baqlor,Sundog
1491,Wraith,Hi
1492,Shogun,Elegater
1493,Saber,Meow
1494,Exarch,Vain
1495,Exarch,Meow
1496,Kibarrax,Itvara
1497,Exarch,Passerby
1498,Exarch,Vain
1499,Kibarrax,Itvara
1500,Saber,Vain
1501,Exarch,Vain
1502,Saber,Meow
1503,Krillou,CIACONA
1504,Wraith,Hi
1505,Wraith,Abh
1506,Saber,Meow
1507,Krillou,CIACONA
1508,Saber,Meow
1509,Krillou,Vain
1510,Wraith,Hi
1511,Proxymar,Itvara
1512,Proxymar,Itvara
1513,Wraith,Abh
1514,Saber,Meow
1515,Wraith,Meow
1516,Saber,Meow
1517,Kibarrax,Longge
1518,UHB,AYBABTU
1519,Shogun,Elegater
1520,Kibarrax,Longge
1521,Wrackr,CIACONA
1522,Shogun,Elegater
1523,Shogun,Elegater
1524,Shogun,Elegater
1525,Kibarrax,Emuser
1526,Proxymar,Wowbadger
1527,Shogun,Elegater
1528,Shogun,Elegater
1529,Shogun,Elegater
1530,Shogun,Elegater
1531,Kibarrax,Longge
1532,Exarch,Hi
1533,Proxymar,Hi
